parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP,fcts
240,19895.2,7.679655532206386,41.55972673873271,8,solrj,rf16_s2_,22,0.0018401145935058594--0.0036687850952148438--0.0041370391845703125--0.0045511722564697266--0.00495457649230957--0.005350828170776367--0.005762338638305664--0.006184816360473633--0.006638526916503906--0.0071086883544921875--0.0076389312744140625--0.008217573165893555--0.008910179138183594--0.009749889373779297--0.010786056518554688--0.01200556755065918--0.013763904571533203--0.016377925872802734--0.021441221237182617--0.035248756408691406
288,20378.5,9.05267781224744,51.29086313576534,8,solrj,rf16_s2_,22,0.0017726421356201172--0.003858804702758789--0.004407644271850586--0.004924774169921875--0.00541377067565918--0.005937814712524414--0.006485939025878906--0.0070095062255859375--0.007619619369506836--0.008291006088256836--0.008979082107543945--0.009784936904907227--0.010714054107666016--0.011795282363891602--0.013082742691040039--0.01485586166381836--0.01729559898376465--0.021007299423217773--0.02768731117248535--0.04445314407348633
336,20052.0,10.160865868337055,69.01225042060987,8,solrj,rf16_s2_,22,0.0019197463989257812--0.0039789676666259766--0.004608631134033203--0.005225419998168945--0.005815982818603516--0.006400346755981445--0.00701904296875--0.0076787471771240234--0.008410453796386719--0.009183168411254883--0.010066747665405273--0.011058330535888672--0.012189388275146484--0.013523578643798828--0.01518869400024414--0.01739335060119629--0.020437955856323242--0.02529454231262207--0.03375387191772461--0.05847287178039551
384,12920.6,13.709989236426477,170.9399136854577,8,solrj,rf16_s2_,22,0.0021262168884277344--0.004458427429199219--0.005149364471435547--0.005838871002197266--0.006601810455322266--0.007463932037353516--0.008402109146118164--0.009521484375--0.010745048522949219--0.012058258056640625--0.013524055480957031--0.015320301055908203--0.017397642135620117--0.01984095573425293--0.023070335388183594--0.027489662170410156--0.034041643142700195--0.044683218002319336--0.0680549144744873--0.168243408203125
432,14490.7,12.161526811837051,186.6363023283295,8,solrj,rf16_s2_,22,0.0018548965454101562--0.004133462905883789--0.004799842834472656--0.005395412445068359--0.006042003631591797--0.00678563117980957--0.007558107376098633--0.008438825607299805--0.009453535079956055--0.010568857192993164--0.011909246444702148--0.013544797897338867--0.015482664108276367--0.01776409149169922--0.02083301544189453--0.02506089210510254--0.03175997734069824--0.04477238655090332--0.07418704032897949--0.1726393699645996
480,13750.4,10.705231630950548,240.73618625704182,8,solrj,rf16_s2_,22,0.001961231231689453--0.0038826465606689453--0.004398822784423828--0.004864215850830078--0.005346059799194336--0.005864620208740234--0.0064716339111328125--0.0071833133697509766--0.008039474487304688--0.009118318557739258--0.010427713394165039--0.012053966522216797--0.014230966567993164--0.01706552505493164--0.02096700668334961--0.026781797409057617--0.03625607490539551--0.055008888244628906--0.1019144058227539--0.24022865295410156
48,9444.8,4.375734329223633,9.386577606201172,8,solrj,rf16_s2_,22,0.0017826557159423828--0.002543926239013672--0.0032579898834228516--0.0034961700439453125--0.003658294677734375--0.0038182735443115234--0.00394892692565918--0.004067897796630859--0.004186868667602539--0.004324674606323242--0.0044558048248291016--0.004595756530761719--0.004736900329589844--0.004906892776489258--0.005087614059448242--0.005327463150024414--0.005603790283203125--0.0060253143310546875--0.006670951843261719--0.008228302001953125
528,18033.2,12.156593574667877,165.31079760137595,8,solrj,rf16_s2_,22,0.0016579627990722656--0.003940582275390625--0.0045070648193359375--0.005093812942504883--0.005734443664550781--0.006437063217163086--0.007245540618896484--0.008156776428222656--0.009195089340209961--0.010455846786499023--0.011920928955078125--0.013683080673217773--0.015787124633789062--0.018529653549194336--0.022114276885986328--0.027146339416503906--0.03497719764709473--0.048625946044921875--0.07742762565612793--0.15964126586914062
576,20728.1,12.123828115760249,147.4085720352648,8,solrj,rf16_s2_,22,0.001589059829711914--0.003873586654663086--0.004473686218261719--0.0050966739654541016--0.005800724029541016--0.006556034088134766--0.0073926448822021484--0.00833439826965332--0.009409427642822266--0.010602474212646484--0.011945009231567383--0.013561010360717773--0.0155487060546875--0.01819920539855957--0.021632909774780273--0.026503801345825195--0.034451961517333984--0.04805564880371094--0.0763089656829834--0.13810181617736816
681,10830.2,9.138779174116321,453.1568573829823,8,solrj,rf16_s2_,22,0.001840829849243164--0.0038576126098632812--0.004485607147216797--0.00487828254699707--0.005232572555541992--0.005599260330200195--0.0060122013092041016--0.006483793258666992--0.007048845291137695--0.00774383544921875--0.008640527725219727--0.009859800338745117--0.011523723602294922--0.014210939407348633--0.019188880920410156--0.0305328369140625--0.05850362777709961--0.12332439422607422--0.23347043991088867--0.4227900505065918
786,12915.4,11.611956839996063,389.7939869925973,8,solrj,rf16_s2_,22,0.0019066333770751953--0.0040323734283447266--0.004629373550415039--0.005126953125--0.005625486373901367--0.006194353103637695--0.006830453872680664--0.0076160430908203125--0.008559465408325195--0.009718656539916992--0.011204719543457031--0.0131072998046875--0.015745878219604492--0.019701719284057617--0.026882410049438477--0.04259896278381348--0.07793521881103516--0.1440563201904297--0.2462928295135498--0.37268877029418945
891,11438.4,12.093099914533461,522.9577596017099,8,solrj,rf16_s2_,22,0.001798391342163086--0.004010915756225586--0.0046405792236328125--0.00509953498840332--0.005564689636230469--0.006074666976928711--0.006657123565673828--0.007359504699707031--0.00823521614074707--0.009357929229736328--0.010894775390625--0.013029336929321289--0.016331195831298828--0.022205591201782227--0.03442525863647461--0.059006452560424805--0.10344696044921875--0.17496061325073242--0.27381229400634766--0.46109533309936523
96,15516.2,4.983045616928412,10.781910954689494,8,solrj,rf16_s2_,22,0.0017633438110351562--0.0030164718627929688--0.0035257339477539062--0.003774404525756836--0.003979206085205078--0.0041599273681640625--0.004329204559326172--0.00448918342590332--0.004660367965698242--0.004833698272705078--0.005028486251831055--0.0052182674407958984--0.005427837371826172--0.005672931671142578--0.005953073501586914--0.006302356719970703--0.006731510162353516--0.007312297821044922--0.008203506469726562--0.010094404220581055
996,16645.4,10.952356972998146,387.84809638082197,8,solrj,rf16_s2_,22,0.001714468002319336--0.0038318634033203125--0.004339933395385742--0.0047681331634521484--0.005229473114013672--0.00573420524597168--0.006319284439086914--0.0070302486419677734--0.007889747619628906--0.008951902389526367--0.010354757308959961--0.012225627899169922--0.01491546630859375--0.019413471221923828--0.028595447540283203--0.04994773864746094--0.08783602714538574--0.15179967880249023--0.23914599418640137--0.3753678798675537
144,69716.6,1.2333066496130538,6.7526347016635,2,solrj,rf2_s1__,11,0.0005548000335693359--0.000812530517578125--0.0008807182312011719--0.0009262561798095703--0.0009703636169433594--0.001008749008178711--0.0010442733764648438--0.0010845661163330078--0.001125335693359375--0.001173257827758789--0.0012307167053222656--0.0013027191162109375--0.0013844966888427734--0.0014789104461669922--0.001598358154296875--0.0017659664154052734--0.0020020008087158203--0.002360105514526367--0.0029976367950439453--0.005143880844116211
192,73334.9,1.460527636341213,9.73026654154984,2,solrj,rf2_s1__,11,0.0005908012390136719--0.0009076595306396484--0.0009887218475341797--0.0010454654693603516--0.0010955333709716797--0.0011451244354248047--0.0011985301971435547--0.001252889633178711--0.0013110637664794922--0.0013797283172607422--0.0014567375183105469--0.0015492439270019531--0.0016558170318603516--0.0017910003662109375--0.0019583702087402344--0.0021805763244628906--0.0025033950805664062--0.0030188560485839844--0.00398707389831543--0.007399559020996094
240,72494.1,1.5536527003138518,12.817744381171613,2,solrj,rf2_s1__,11,0.0005993843078613281--0.0009586811065673828--0.0010459423065185547--0.0011074542999267578--0.0011622905731201172--0.0012135505676269531--0.0012693405151367188--0.0013275146484375--0.0013918876647949219--0.0014624595642089844--0.0015444755554199219--0.0016367435455322266--0.0017499923706054688--0.001890420913696289--0.002076864242553711--0.0023119449615478516--0.002667665481567383--0.003233671188354492--0.004316091537475586--0.00821232795715332
288,75308.8,1.6499716660072064,18.629908561706543,2,solrj,rf2_s1__,11,0.0005755424499511719--0.0010051727294921875--0.001093149185180664--0.0011599063873291016--0.0012199878692626953--0.0012776851654052734--0.0013384819030761719--0.0013995170593261719--0.0014727115631103516--0.0015523433685302734--0.0016429424285888672--0.001749277114868164--0.0018763542175292969--0.002035856246948242--0.0022459030151367188--0.002512216567993164--0.0029015541076660156--0.003509044647216797--0.004914522171020508--0.01333308219909668
336,74210.2,1.7306705903724806,22.434343953104413,2,solrj,rf2_s1__,11,0.0005786418914794922--0.0010406970977783203--0.0011377334594726562--0.0012068748474121094--0.0012722015380859375--0.0013344287872314453--0.0013968944549560547--0.0014629364013671875--0.0015380382537841797--0.001622915267944336--0.0017194747924804688--0.0018284320831298828--0.0019626617431640625--0.0021200180053710938--0.0023305416107177734--0.0026171207427978516--0.0030264854431152344--0.0036988258361816406--0.0051844120025634766--0.014582157135009766
384,72909.2,1.8378656762869248,28.58433575210176,2,solrj,rf2_s1__,11,0.0005750656127929688--0.0010881423950195312--0.0011966228485107422--0.0012767314910888672--0.001346588134765625--0.0014142990112304688--0.0014829635620117188--0.0015532970428466797--0.0016307830810546875--0.0017201900482177734--0.0018286705017089844--0.0019512176513671875--0.002100706100463867--0.002282857894897461--0.002518177032470703--0.002832174301147461--0.003296375274658203--0.0040929317474365234--0.005938291549682617--0.021971464157104492
432,74946.5,1.8235321133021118,33.414074785439574,2,solrj,rf2_s1__,11,0.0005414485931396484--0.0010974407196044922--0.0011970996856689453--0.0012717247009277344--0.0013394355773925781--0.0014045238494873047--0.001470804214477539--0.0015406608581542969--0.0016179084777832031--0.001705169677734375--0.0018079280853271484--0.0019290447235107422--0.002079010009765625--0.002252340316772461--0.0024819374084472656--0.002775430679321289--0.0032181739807128906--0.00392603874206543--0.0054471492767333984--0.0211946964263916
480,73913.2,1.7012733641501778,26.99672334916364,2,solrj,rf2_s1__,11,0.0005865097045898438--0.0010540485382080078--0.0011494159698486328--0.0012197494506835938--0.0012826919555664062--0.0013422966003417969--0.0014004707336425781--0.0014622211456298828--0.001527547836303711--0.0016028881072998047--0.0016868114471435547--0.0017883777618408203--0.0019116401672363281--0.0020627975463867188--0.0022516250610351562--0.002507925033569336--0.002887248992919922--0.0034766197204589844--0.0046427249908447266--0.010364294052124023
48,37628.5,1.0059261322021484,3.1799936294555664,2,solrj,rf2_s1__,11,0.0005383491516113281--0.0007565021514892578--0.0008187294006347656--0.0008656978607177734--0.0008966922760009766--0.0009202957153320312--0.0009427070617675781--0.0009622573852539062--0.000982522964477539--0.0010030269622802734--0.0010235309600830078--0.0010476112365722656--0.0010728836059570312--0.0011019706726074219--0.0011374950408935547--0.001188039779663086--0.0012619495391845703--0.0013599395751953125--0.001519918441772461--0.002201080322265625
528,76980.8,1.8363012457793613,41.85861461567429,2,solrj,rf2_s1__,11,0.0005476474761962891--0.001054525375366211--0.0011591911315917969--0.0012378692626953125--0.0013082027435302734--0.0013775825500488281--0.0014476776123046875--0.0015211105346679688--0.0016062259674072266--0.0017020702362060547--0.0018153190612792969--0.001954793930053711--0.0021250247955322266--0.0023407936096191406--0.0026378631591796875--0.0030379295349121094--0.0036454200744628906--0.0047283172607421875--0.007553577423095703--0.030832529067993164
