parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP,fcts
576,210124.2,2.0871414032774402,9.211143820343546,8,direct,rf16_s1_,12,0.0004038810729980469--0.0010380744934082031--0.0012001991271972656--0.001314401626586914--0.001413106918334961--0.0015096664428710938--0.001605987548828125--0.001707315444946289--0.0018160343170166016--0.001928567886352539--0.002054452896118164--0.002199888229370117--0.0023682117462158203--0.002569437026977539--0.002810239791870117--0.003124713897705078--0.003551959991455078--0.004232168197631836--0.005545854568481445--0.008732318878173828
681,212953.0,2.232810419102363,11.700939392585697,8,direct,rf16_s1_,12,0.000423431396484375--0.0010688304901123047--0.0012450218200683594--0.0013730525970458984--0.0014836788177490234--0.0015897750854492188--0.0016982555389404297--0.0018084049224853516--0.0019254684448242188--0.002051115036010742--0.0021903514862060547--0.002351522445678711--0.0025408267974853516--0.0027692317962646484--0.0030670166015625--0.0034568309783935547--0.004004001617431641--0.0048558712005615234--0.006609439849853516--0.011095285415649414
786,217348.7,2.3263934311593415,14.342243959949275,8,direct,rf16_s1_,12,0.0004062652587890625--0.001062631607055664--0.0012540817260742188--0.0013914108276367188--0.0015141963958740234--0.0016329288482666016--0.0017497539520263672--0.001871347427368164--0.0019986629486083984--0.002135038375854492--0.0022857189178466797--0.0024635791778564453--0.0026683807373046875--0.0029251575469970703--0.0032596588134765625--0.003713369369506836--0.004366636276245117--0.005433559417724609--0.007773637771606445--0.013489484786987305
891,219058.1,2.43916730464239,17.26657145501251,8,direct,rf16_s1_,12,0.0004076957702636719--0.0011000633239746094--0.001298666000366211--0.0014369487762451172--0.0015633106231689453--0.0016894340515136719--0.0018165111541748047--0.001939535140991211--0.002073049545288086--0.002224445343017578--0.0023925304412841797--0.0025861263275146484--0.0028154850006103516--0.0030999183654785156--0.003467082977294922--0.003984689712524414--0.004761934280395508--0.0061435699462890625--0.009045124053955078--0.016099214553833008
96,100685.1,1.0084619327467315,1.5745406248131577,8,direct,rf16_s1_,12,0.0003883838653564453--0.0005702972412109375--0.0006575584411621094--0.0007684230804443359--0.0008294582366943359--0.0008704662322998047--0.0009031295776367188--0.0009331703186035156--0.0009627342224121094--0.0009884834289550781--0.0010154247283935547--0.0010437965393066406--0.0010750293731689453--0.0011074542999267578--0.001142263412475586--0.0011818408966064453--0.0012295246124267578--0.0012977123260498047--0.0013926029205322266--0.0015616416931152344
996,221047.2,2.501608259114788,19.490030902114945,8,direct,rf16_s1_,12,0.0003979206085205078--0.0011022090911865234--0.00130462646484375--0.0014519691467285156--0.0015845298767089844--0.0017163753509521484--0.0018463134765625--0.001978158950805664--0.002120494842529297--0.002276182174682617--0.002452373504638672--0.0026581287384033203--0.002905130386352539--0.003210306167602539--0.003610372543334961--0.004166126251220703--0.0050280094146728516--0.006545305252075195--0.009830474853515625--0.01789546012878418
144,18777.9,6.6620895307358,14.102636951289766,8,direct,rf16_s2_,22,0.0017631053924560547--0.003525972366333008--0.004322052001953125--0.004797220230102539--0.005138397216796875--0.005434989929199219--0.005688667297363281--0.005923271179199219--0.006172657012939453--0.00641322135925293--0.006666660308837891--0.006934404373168945--0.007218122482299805--0.007537364959716797--0.007887601852416992--0.008307695388793945--0.008855342864990234--0.009598255157470703--0.010746002197265625--0.013272762298583984
192,19147.4,8.614785892447246,20.249640818723698,8,direct,rf16_s2_,22,0.001664876937866211--0.004107236862182617--0.005139589309692383--0.00578618049621582--0.006291866302490234--0.006755352020263672--0.007137775421142578--0.0074939727783203125--0.00787353515625--0.008237361907958984--0.008614778518676758--0.009003877639770508--0.009430408477783203--0.009883880615234375--0.010421276092529297--0.011080026626586914--0.01186680793762207--0.012886762619018555--0.014595270156860352--0.01898956298828125
240,19752.1,10.155003918103935,28.823829879445476,8,direct,rf16_s2_,22,0.0016820430755615234--0.004332542419433594--0.005433320999145508--0.006273984909057617--0.0069963932037353516--0.007589817047119141--0.008117437362670898--0.008630752563476562--0.009129047393798828--0.009617805480957031--0.010126829147338867--0.010689735412597656--0.011289596557617188--0.011934757232666016--0.012660980224609375--0.013508081436157227--0.014603376388549805--0.016117095947265625--0.018582582473754883--0.024976015090942383
288,20207.5,11.869060582128064,36.170117608432115,8,direct,rf16_s2_,22,0.001459360122680664--0.00455927848815918--0.0059931278228759766--0.00708770751953125--0.007932186126708984--0.00868535041809082--0.009338855743408203--0.009976387023925781--0.010595560073852539--0.011200428009033203--0.011843442916870117--0.012525796890258789--0.013265371322631836--0.014070987701416016--0.014960289001464844--0.01605820655822754--0.01735544204711914--0.019335031509399414--0.022421598434448242--0.03012228012084961
336,21218.3,13.443991982725246,42.73346754220816,8,direct,rf16_s2_,22,0.001735687255859375--0.00508427619934082--0.006711244583129883--0.007915973663330078--0.00892186164855957--0.009744882583618164--0.010518074035644531--0.011255502700805664--0.011973857879638672--0.012684345245361328--0.013408422470092773--0.014168500900268555--0.015019893646240234--0.015908241271972656--0.016910076141357422--0.0180966854095459--0.01957988739013672--0.021689653396606445--0.024956464767456055--0.03428196907043457
384,23549.6,14.780259502984082,37.44284785473285,8,direct,rf16_s2_,22,0.0016818046569824219--0.005549192428588867--0.007434844970703125--0.008750677108764648--0.009814262390136719--0.01075124740600586--0.011594295501708984--0.012384891510009766--0.013173818588256836--0.013933897018432617--0.014712095260620117--0.015505313873291016--0.01634502410888672--0.017273902893066406--0.018344402313232422--0.01958918571472168--0.021119356155395508--0.023128747940063477--0.02623295783996582--0.03341245651245117
432,24598.2,16.20869647522676,44.159379972290886,8,direct,rf16_s2_,22,0.0016665458679199219--0.005665779113769531--0.0077626705169677734--0.009265899658203125--0.010515928268432617--0.011602163314819336--0.012516975402832031--0.01345515251159668--0.01433420181274414--0.015233993530273438--0.016142845153808594--0.017081737518310547--0.01807403564453125--0.019171953201293945--0.0204164981842041--0.021839380264282227--0.02356123924255371--0.02582693099975586--0.029447317123413086--0.038503408432006836
480,26556.4,17.7321325199238,41.71561650715428,8,direct,rf16_s2_,22,0.001497507095336914--0.0058629512786865234--0.008274078369140625--0.010091781616210938--0.011560916900634766--0.012766361236572266--0.013848066329956055--0.01484227180480957--0.01580214500427246--0.016735553741455078--0.017708539962768555--0.0186769962310791--0.019699811935424805--0.020836591720581055--0.022082090377807617--0.02349376678466797--0.025150775909423828--0.02732539176940918--0.030586957931518555--0.03805947303771973
48,9752.8,4.442472457885742,8.336219787597656,8,direct,rf16_s2_,22,0.0016622543334960938--0.002402067184448242--0.0032575130462646484--0.003554821014404297--0.003744363784790039--0.0038955211639404297--0.0040285587310791016--0.0041544437408447266--0.004274606704711914--0.004395961761474609--0.00451350212097168--0.004641294479370117--0.004767417907714844--0.004918575286865234--0.0051004886627197266--0.005318641662597656--0.005577802658081055--0.005987882614135742--0.006662845611572266--0.008106231689453125
528,29717.4,18.075395080278504,37.714397232487514,8,direct,rf16_s2_,22,0.0014867782592773438--0.006700277328491211--0.00889277458190918--0.010613441467285156--0.011976480484008789--0.013175487518310547--0.01425313949584961--0.015203237533569336--0.016153335571289062--0.017101049423217773--0.018018245697021484--0.018976449966430664--0.01997518539428711--0.02106332778930664--0.022231340408325195--0.02354907989501953--0.02510666847229004--0.02708601951599121--0.029969453811645508--0.03586721420288086
576,30651.5,19.460644688985752,40.40414239296039,8,direct,rf16_s2_,22,0.0015408992767333984--0.005715131759643555--0.008927106857299805--0.01105046272277832--0.012763023376464844--0.014111995697021484--0.015311002731323242--0.016419172286987305--0.01749897003173828--0.018517494201660156--0.019516468048095703--0.020549297332763672--0.02156853675842285--0.02270030975341797--0.023934125900268555--0.025313854217529297--0.027011871337890625--0.0291445255279541--0.032320499420166016--0.038680076599121094
