parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1280,30928.2,16,194,16,direct,rf32_s2_,22
128,6967.3,7,57,16,direct,rf32_s2_,22
1408,31012.2,18,204,16,direct,rf32_s2_,22
1536,32527.8,22,204,16,direct,rf32_s2_,22
256,10832.2,6,238,16,direct,rf32_s2_,22
384,10523.5,7,320,16,direct,rf32_s2_,22
512,13902.9,8,274,16,direct,rf32_s2_,22
640,17618.3,8,244,16,direct,rf32_s2_,22
768,20690.7,9,227,16,direct,rf32_s2_,22
896,24357.5,10,204,16,direct,rf32_s2_,22
1024,5768.5,26,549,16,direct,rf32_s4_,42
1152,6588.1,28,524,16,direct,rf32_s4_,42
1280,8035.8,33,451,16,direct,rf32_s4_,42
128,3884.1,11,275,16,direct,rf32_s4_,42
1408,10246.8,33,355,16,direct,rf32_s4_,42
1536,11965.0,43,308,16,direct,rf32_s4_,42
256,5902.6,11,321,16,direct,rf32_s4_,42
384,5566.1,15,405,16,direct,rf32_s4_,42
512,5344.8,16,413,16,direct,rf32_s4_,42
640,6132.3,15,369,16,direct,rf32_s4_,42
768,6641.5,22,366,16,direct,rf32_s4_,42
896,8728.8,23,290,16,direct,rf32_s4_,42
1024,53683.0,4,76,2,direct,rf4_s1__,12
1152,52993.8,4,90,2,direct,rf4_s1__,12
1280,53546.0,5,92,2,direct,rf4_s1__,12
128,23733.8,1,19,2,direct,rf4_s1__,12
1408,52129.4,5,101,2,direct,rf4_s1__,12
1536,52834.8,5,120,2,direct,rf4_s1__,12
256,48470.2,1,18,2,direct,rf4_s1__,12
384,48061.1,2,29,2,direct,rf4_s1__,12
512,52412.1,2,39,2,direct,rf4_s1__,12
640,52385.4,3,49,2,direct,rf4_s1__,12
768,52110.7,3,60,2,direct,rf4_s1__,12
896,51755.1,3,73,2,direct,rf4_s1__,12
1024,8119.5,117,360,2,direct,rf4_s2__,22
1152,7796.8,142,363,2,direct,rf4_s2__,22
1280,7169.2,175,467,2,direct,rf4_s2__,22
128,2200.9,39,239,2,direct,rf4_s2__,22
1408,7416.4,191,498,2,direct,rf4_s2__,22
1536,7721.4,189,585,2,direct,rf4_s2__,22
256,4396.2,38,376,2,direct,rf4_s2__,22
384,5964.9,46,336,2,direct,rf4_s2__,22
512,6646.5,61,272,2,direct,rf4_s2__,22
640,7405.8,75,264,2,direct,rf4_s2__,22
768,7548.5,90,291,2,direct,rf4_s2__,22
896,7433.6,110,309,2,direct,rf4_s2__,22
1024,3957.8,260,717,2,direct,rf4_s4__,42
1152,3953.8,283,868,2,direct,rf4_s4__,42
1280,3752.2,329,1030,2,direct,rf4_s4__,42
128,1298.3,66,401,2,direct,rf4_s4__,42
1408,3569.1,366,1180,2,direct,rf4_s4__,42
1536,3680.6,370,1165,2,direct,rf4_s4__,42
256,2592.7,65,512,2,direct,rf4_s4__,42
384,3313.9,84,475,2,direct,rf4_s4__,42
512,4002.7,101,437,2,direct,rf4_s4__,42
640,4477.0,124,390,2,direct,rf4_s4__,42
768,4459.6,157,464,2,direct,rf4_s4__,42
896,4256.9,208,500,2,direct,rf4_s4__,42
1024,102023.7,2,41,4,direct,rf8_s1__,12
1152,104502.7,3,43,4,direct,rf8_s1__,12
1280,102889.9,3,49,4,direct,rf8_s1__,12
128,45297.3,0,7,4,direct,rf8_s1__,12
1408,100264.0,3,57,4,direct,rf8_s1__,12
1536,104189.4,3,58,4,direct,rf8_s1__,12
256,93856.8,1,7,4,direct,rf8_s1__,12
384,93783.4,1,13,4,direct,rf8_s1__,12
512,98527.2,2,20,4,direct,rf8_s1__,12
640,102849.9,2,25,4,direct,rf8_s1__,12
768,101109.0,2,31,4,direct,rf8_s1__,12
896,101607.2,2,36,4,direct,rf8_s1__,12
1024,13230.5,58,257,4,direct,rf8_s2__,22
1152,13644.9,67,272,4,direct,rf8_s2__,22
1280,13601.6,80,279,4,direct,rf8_s2__,22
128,4059.2,17,146,4,direct,rf8_s2__,22
1408,13874.7,87,303,4,direct,rf8_s2__,22
1536,3117.1,99,307,4,direct,rf8_s2__,22
256,6753.1,18,307,4,direct,rf8_s2__,22
384,7249.4,23,334,4,direct,rf8_s2__,22
512,9415.6,31,273,4,direct,rf8_s2__,22
640,10955.1,36,249,4,direct,rf8_s2__,22
768,12101.0,46,221,4,direct,rf8_s2__,22
896,12647.6,54,227,4,direct,rf8_s2__,22
1024,7323.6,122,372,4,direct,rf8_s4__,42
1152,7885.7,129,403,4,direct,rf8_s4__,42
1280,7911.5,147,430,4,direct,rf8_s4__,42
128,2656.4,28,267,4,direct,rf8_s4__,42
1408,2214.8,125,445,4,direct,rf8_s4__,42
1536,1594.3,27,312,4,direct,rf8_s4__,42
256,3886.1,32,393,4,direct,rf8_s4__,42
384,4054.0,50,452,4,direct,rf8_s4__,42
512,5313.3,58,371,4,direct,rf8_s4__,42
640,6017.8,72,352,4,direct,rf8_s4__,42
768,6547.8,90,351,4,direct,rf8_s4__,42
896,7332.4,101,345,4,direct,rf8_s4__,42
