parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
384,46579.5,2,14,32,solrj,rf64_s1_
640,49733.1,2,36,32,solrj,rf64_s1_
896,43744.3,3,131,32,solrj,rf64_s1_
1152,39603.3,3,205,32,solrj,rf64_s1_
128,8588.2,8,80,32,solrj,rf64_s2_
256,13720.4,7,115,32,solrj,rf64_s2_
384,17146.3,7,128,32,solrj,rf64_s2_
512,19564.0,7,138,32,solrj,rf64_s2_
640,21077.5,8,154,32,solrj,rf64_s2_
768,22676.4,8,168,32,solrj,rf64_s2_
1408,27307.3,15,221,32,solrj,rf64_s2_
1664,25389.3,17,257,32,solrj,rf64_s2_
1920,29303.5,26,262,32,solrj,rf64_s2_
2176,27144.2,24,328,32,solrj,rf64_s2_
2432,30714.3,40,297,32,solrj,rf64_s2_
128,8798.5,7,75,32,solrj,rf64_s2_
2688,30708.5,50,319,32,solrj,rf64_s2_
2944,22027.5,36,1493,32,solrj,rf64_s2_
384,17463.3,7,126,32,solrj,rf64_s2_
640,21146.7,7,157,32,solrj,rf64_s2_
896,22265.6,9,188,32,solrj,rf64_s2_
1152,25625.2,11,208,32,solrj,rf64_s2_
704,45183.5,3,87,16,solrj,rf8_s1__
832,45815.0,3,105,16,solrj,rf8_s1__
960,44609.5,3,125,16,solrj,rf8_s1__
1088,43502.3,4,164,16,solrj,rf8_s1__
1216,42215.6,4,198,16,solrj,rf8_s1__
64,20340.5,1,4,16,solrj,rf8_s1__
1344,40513.0,4,237,16,solrj,rf8_s1__
1472,39485.3,4,278,16,solrj,rf8_s1__
192,36113.3,1,10,16,solrj,rf8_s1__
320,40350.5,2,21,16,solrj,rf8_s1__
448,41937.9,3,45,16,solrj,rf8_s1__
576,44067.6,3,69,16,solrj,rf8_s1__
64,20592.5,1,5,16,solrj,rf8_s1__
128,36680.5,1,6,16,solrj,rf8_s1__
192,41467.4,2,9,16,solrj,rf8_s1__
256,42282.0,2,14,16,solrj,rf8_s1__
320,42906.3,2,22,16,solrj,rf8_s1__
384,44105.9,2,32,16,solrj,rf8_s1__
176,24665.0,4,16,4,solrj,rf8_s1__
208,25282.6,4,20,4,solrj,rf8_s1__
240,24563.5,5,26,4,solrj,rf8_s1__
272,24793.3,6,31,4,solrj,rf8_s1__
304,24810.3,6,39,4,solrj,rf8_s1__
16,4529.6,2,5,4,solrj,rf8_s1__
336,24792.0,7,46,4,solrj,rf8_s1__
368,24521.4,8,54,4,solrj,rf8_s1__
48,15682.4,1,4,4,solrj,rf8_s1__
80,23438.9,1,6,4,solrj,rf8_s1__
112,25087.0,1,10,4,solrj,rf8_s1__
144,24988.0,2,13,4,solrj,rf8_s1__
352,33156.7,3,29,8,solrj,rf8_s1__
512,35697.0,4,68,8,solrj,rf8_s1__
