


"Host:","node-13.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:20 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:46:04,0,0.250,99.750,0,0,12557201408,49884655616,267845632,4446601216,0,24576,0,4,306,606,0,0,0,102,169,0,3221221376,10,44,0,0,0
01-10 16:46:05,0,0.188,99.812,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,785,622,0,0,0,99,149,0,3221221376,10,44,0,0,0
01-10 16:46:06,0,0.250,99.750,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,306,606,0,0,0,106,176,0,3221221376,10,44,0,0,0
01-10 16:46:07,0,0.250,99.750,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,305,808,0,0,0,133,210,0,3221221376,10,44,0,0,0
01-10 16:46:08,0,0.188,99.812,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,538,836,0,0,0,124,177,0,3221221376,10,44,0,0,0
01-10 16:46:09,0.062,0.250,99.625,0.062,0,12557201408,49884655616,267845632,4446601216,0,24576,0,4,725,708,0,0,0,102,162,0,3221221376,10,44,0,0,0
01-10 16:46:10,0,0.188,99.812,0,0,12557201408,49884655616,267845632,4446601216,0,0,0,0,834,1720,0,0,0,110,174,0,3221221376,10,44,0,0,0
01-10 16:46:11,0,0.188,99.812,0,0,12557197312,49884655616,267845632,4446605312,0,16384,0,2,425,606,0,0,0,102,174,0,3221221376,10,44,0,0,0
01-10 16:46:12,0,0.188,99.812,0,0,12557193216,49884655616,267845632,4446609408,0,0,0,0,867,622,0,0,0,118,187,0,3221221376,10,44,0,0,0
01-10 16:46:13,0,0.188,99.812,0,0,12557160448,49884688384,267845632,4446609408,0,0,0,0,1231,1395,0,2,1,128,189,0,3221221376,10,44,0,0,0
01-10 16:46:14,0,0.250,99.750,0,0,12557160448,49884688384,267845632,4446609408,0,0,0,0,246,622,0,0,0,99,167,0,3221221376,10,44,0,0,0
01-10 16:46:15,0,0.188,99.812,0,0,12557160448,49884688384,267845632,4446609408,0,81920,0,10,880,606,0,0,0,130,194,0,3221221376,10,44,0,0,0
01-10 16:46:16,0,0.188,99.812,0,0,12557160448,49884688384,267845632,4446609408,0,0,0,0,486,622,0,0,0,101,164,0,3221221376,10,44,0,0,0
01-10 16:46:17,0,0.250,99.750,0,0,12557029376,49884819456,267845632,4446609408,0,360448,0,78,365,606,0,0,0,134,185,0,3221221376,10,44,0,0,0
01-10 16:46:18,0,0.188,99.812,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,658,852,0,0,0,104,167,0,3221221376,10,44,0,0,0
01-10 16:46:19,0,0.188,99.812,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,861,995,0,2,1,108,187,0,3221221376,10,44,0,0,0
01-10 16:46:20,0,0.188,99.812,0,0,12557029376,49884819456,267845632,4446609408,0,32768,0,4,366,622,0,0,0,93,159,0,3221221376,10,44,0,0,0
01-10 16:46:21,0,0.188,99.812,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,305,622,0,0,0,94,149,0,3221221376,10,44,0,0,0
01-10 16:46:22,0,0.250,99.750,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,306,606,0,0,0,112,193,0,3221221376,10,44,0,0,0
01-10 16:46:23,0,0.188,99.812,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,819,836,0,0,0,108,174,0,3221221376,10,44,0,0,0
01-10 16:46:24,0,0.188,99.812,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,546,606,0,0,0,94,153,0,3221221376,10,44,0,0,0
01-10 16:46:25,0,0.250,99.750,0,0,12557029376,49884819456,267845632,4446609408,0,0,0,0,545,606,0,0,0,93,149,0,3221221376,10,44,0,0,0
01-10 16:46:26,0.062,0.187,99.688,0.062,0,12557029376,49884819456,267845632,4446609408,0,24576,0,4,460,606,0,0,0,121,191,0,3221221376,10,44,0,0,0
01-10 16:46:27,0,0.250,99.750,0,0,12557037568,49884811264,267845632,4446609408,0,8192,0,2,987,1154,0,0,0,166,235,0,3221221376,10,44,0,1,0
01-10 16:46:28,0,0.188,99.812,0,0,12556902400,49884946432,267845632,4446609408,0,0,0,0,418,852,0,0,0,96,165,0,3221221376,10,44,0,1,0
01-10 16:46:29,0,0.188,99.812,0,0,12556902400,49884946432,267845632,4446609408,0,0,0,0,485,606,0,0,0,92,152,0,3221221376,10,44,0,1,0
01-10 16:46:30,0,0.188,99.812,0,0,12556902400,49884946432,267845632,4446609408,0,0,0,0,761,606,0,0,0,105,171,0,3221221376,10,44,0,1,0
01-10 16:46:31,0.062,0.250,99.688,0,0,12556902400,49884946432,267845632,4446609408,0,90112,0,4,827,606,0,0,0,111,186,0,3221221376,10,44,0,1,0
01-10 16:46:32,0,0.188,99.812,0,0,12556902400,49884946432,267845632,4446609408,0,131072,0,30,658,852,0,2,1,128,185,0,3221221376,10,44,0,1,0
01-10 16:46:33,0,0.313,99.562,0.125,0,12557185024,49884659712,267849728,4446609408,0,614400,0,28,2117,1758,0,0,0,275,403,0,3221221376,10,44,0,2,0
01-10 16:46:34,0.062,0.188,99.750,0,0,12557287424,49884557312,267849728,4446609408,0,0,0,0,761,622,0,0,0,116,187,0,3221221376,10,44,0,2,0
01-10 16:46:35,0,0.188,99.812,0,0,12557287424,49884557312,267849728,4446609408,0,0,0,0,425,606,0,0,0,112,171,0,3221221376,10,44,0,2,0
01-10 16:46:36,0,0.250,99.750,0,0,12557287424,49884557312,267849728,4446609408,0,0,0,0,426,606,0,0,0,120,166,0,3221221376,10,44,0,2,0
01-10 16:46:37,0,0.188,99.812,0,0,12557287424,49884557312,267849728,4446609408,0,0,0,0,545,606,0,0,0,112,181,0,3221221376,10,44,0,2,0
01-10 16:46:38,0,0.250,99.750,0,0,12557103104,49884741632,267849728,4446609408,0,163840,0,4,954,1099,0,0,0,141,223,0,3221221376,10,44,0,2,0
01-10 16:46:39,0,0.188,99.812,0,0,12557103104,49884741632,267849728,4446609408,0,0,0,0,605,622,0,0,0,106,169,0,3221221376,10,44,0,2,0
01-10 16:46:40,0,0.188,99.812,0,0,12557103104,49884741632,267849728,4446609408,0,0,0,0,66,606,0,0,0,86,150,0,3221221376,10,44,0,2,0
01-10 16:46:41,0,0.188,99.812,0,0,12557099008,49884741632,267849728,4446613504,0,0,0,0,1275,606,0,0,0,105,165,0,3221221376,10,44,0,2,0
01-10 16:46:42,0.250,0.312,99.438,0,0,12557094912,49884741632,267849728,4446617600,0,16384,0,2,29970,29197,0,10,0,180,261,0,3221221376,10,44,0,2,0
01-10 16:46:43,0,0.188,99.750,0.063,0,12557094912,49884741632,267849728,4446617600,0,155648,0,8,932,860,0,0,0,120,190,0,3221221376,10,44,0,2,0
01-10 16:46:44,0,0.250,99.750,0,0,12557094912,49884741632,267849728,4446617600,0,0,0,0,246,622,0,0,0,98,159,0,3221221376,10,44,0,2,0
01-10 16:46:45,0,0.188,99.812,0,0,12557094912,49884741632,267849728,4446617600,0,0,0,0,425,606,0,0,0,89,155,0,3221221376,10,44,0,2,0
01-10 16:46:46,0,0.250,99.750,0,0,12557094912,49884741632,267849728,4446617600,0,0,0,0,1074,1064,0,2,1,150,212,0,3221221376,10,44,0,2,0
01-10 16:46:47,0,0.188,99.812,0,0,12557086720,49884749824,267849728,4446617600,0,24576,0,4,485,742,0,0,0,118,202,0,3221221376,10,44,0,2,0
01-10 16:46:48,0,0.188,99.812,0,0,12557086720,49884749824,267849728,4446617600,0,0,0,0,298,852,0,0,0,99,159,0,3221221376,10,44,0,2,0
01-10 16:46:49,0,0.188,99.812,0,0,12557086720,49884749824,267849728,4446617600,0,40960,0,4,365,606,0,0,0,100,163,0,3221221376,10,44,0,2,0
01-10 16:46:50,0,0.250,99.750,0,0,12557086720,49884749824,267849728,4446617600,0,0,0,0,701,622,0,0,0,103,175,0,3221221376,10,44,0,2,0
01-10 16:46:51,0,0.188,99.812,0,0,12557086720,49884749824,267849728,4446617600,0,0,0,0,759,606,0,0,0,105,172,0,3221221376,10,44,0,2,0
01-10 16:46:52,0,0.188,99.812,0,0,12557086720,49884749824,267849728,4446617600,0,0,0,0,366,606,0,0,0,103,177,0,3221221376,10,44,0,2,0
01-10 16:46:53,0,0.188,99.812,0,0,12557086720,49884749824,267849728,4446617600,0,0,0,0,537,836,0,0,0,96,155,0,3221221376,10,44,0,2,0
01-10 16:46:54,4.494,0.749,94.757,0,0,12557086720,49884749824,267853824,4446613504,0,24576,0,4,2361664,2854895,506,331,417,5919,7623,0,3221221376,10,84,0,2,0
01-10 16:46:55,68.494,7.372,24.134,0,0,12568477696,49873354752,267853824,4446617600,0,0,0,0,43290325,53860670,6885,5245,5826,89101,102179,0,3221221376,10,124,0,2,0
01-10 16:46:56,72.562,7.875,19.562,0,0,12569133056,49872695296,267853824,4446621696,0,0,0,0,42590953,53694349,6210,4828,5731,84805,84084,0,3221221376,10,124,0,2,0
01-10 16:46:57,68.509,7.081,24.410,0,0,12569890816,49871933440,267853824,4446625792,0,0,0,0,38653402,48995782,5974,4530,5272,78913,83941,0,3221221376,10,124,0,2,0
01-10 16:46:58,67.716,7.615,24.670,0,0,12573704192,49868120064,267853824,4446625792,0,16384,0,4,41206198,49901409,5909,4690,5943,80826,80828,0,3221221376,10,124,0,2,0
01-10 16:46:59,74.230,7.920,17.850,0,0,12574261248,49867563008,267853824,4446625792,0,0,0,0,46236217,58922754,6735,5137,6534,92029,99213,0,3221221376,10,124,0,2,0
01-10 16:47:00,71.429,7.331,21.241,0,0,12574158848,49867661312,267853824,4446629888,0,90112,0,6,47030292,57896969,6849,4965,6527,90090,96598,0,3221221376,10,124,0,2,0
01-10 16:47:01,66.415,6.981,26.604,0,0,12575096832,49866723328,267853824,4446629888,0,0,0,0,39415339,50475536,6148,4473,5705,80210,86025,0,3221221376,10,124,0,2,0
01-10 16:47:02,63.470,7.256,29.274,0,0,12576624640,49865191424,267853824,4446633984,0,0,0,0,39558072,49139586,6086,4346,5367,78491,87269,0,3221221376,10,124,0,2,0
01-10 16:47:03,64.299,7.040,28.660,0,0,12577374208,49864441856,267853824,4446633984,0,0,0,0,42835172,52740372,6482,4917,6169,86801,101225,0,3221221376,10,124,0,2,0
01-10 16:47:04,67.995,7.274,24.731,0,0,12579360768,49862455296,267853824,4446633984,0,0,0,0,41594367,51812339,6284,4793,5685,82946,91196,0,3221221376,10,124,0,2,0
01-10 16:47:05,69.551,7.896,22.552,0,0,12581724160,49860087808,267853824,4446638080,0,81920,0,6,45329914,55990373,6762,4988,6223,88085,94711,0,3221221376,10,124,0,2,0
01-10 16:47:06,69.950,7.215,22.836,0,0,12582158336,49859653632,267853824,4446638080,0,0,0,0,44574634,55576854,6554,5113,6388,89829,101695,0,3221221376,10,124,0,2,0
01-10 16:47:07,60.906,7.589,31.505,0,0,12584882176,49856925696,267853824,4446642176,0,0,0,0,42480798,52286943,6114,5162,6397,85537,102685,0,3221221376,10,124,0,2,0
01-10 16:47:08,69.796,8.110,22.095,0,0,12584185856,49857617920,267853824,4446646272,0,688128,0,126,48611599,60098630,6600,5269,6836,96067,111882,0,3221221376,10,124,0,2,0
01-10 16:47:09,65.662,6.905,27.433,0,0,12586266624,49855528960,267853824,4446654464,0,0,0,0,40835185,51540616,5834,4987,5478,82074,92727,0,3221221376,10,124,0,2,0
01-10 16:47:10,71.357,7.161,21.482,0,0,12586782720,49855012864,267853824,4446654464,0,147456,0,12,39847859,50427818,5880,4280,5357,78571,80935,0,3221221376,10,124,0,2,0
01-10 16:47:11,70.685,7.487,21.827,0,0,12588445696,49853345792,267853824,4446658560,0,0,0,0,42541730,53392706,6083,4654,5871,85492,90768,0,3221221376,10,124,0,2,0
01-10 16:47:12,62.500,7.125,30.375,0,0,12590047232,49851744256,267853824,4446658560,0,0,0,0,40344406,49639095,6393,4662,5659,83066,97688,0,3221221376,10,124,0,2,0
01-10 16:47:13,67.812,7.697,24.491,0,0,12588441600,49853349888,267853824,4446658560,0,8192,0,2,42086809,53236837,6477,5009,5789,85067,92610,0,3221221376,10,124,0,2,0
01-10 16:47:14,73.760,7.847,18.393,0,0,12590825472,49850961920,267853824,4446662656,0,0,0,0,43339698,53867047,6774,4704,6177,86963,86382,0,3221221376,10,124,0,2,0
01-10 16:47:15,71.064,7.393,21.479,0.064,0,12592742400,49849044992,267853824,4446662656,0,81920,0,6,44694546,55767713,6158,4992,6158,88702,96947,0,3221221376,10,124,0,2,0
01-10 16:47:16,74.051,7.025,18.924,0,0,12592672768,49849110528,267853824,4446666752,0,0,0,0,43648055,54360768,6159,4653,6135,86472,90052,0,3221221376,10,124,0,2,0
01-10 16:47:17,70,8.165,21.835,0,0,12593684480,49848098816,267853824,4446666752,0,0,0,0,46699118,56916670,7060,5776,6276,94190,105227,0,3221221376,10,124,0,2,0
01-10 16:47:18,4.688,0.688,94.625,0,0,12594401280,49847382016,267853824,4446666752,0,40960,0,4,1522436,2921828,314,266,186,3987,3880,0,3221221376,10,44,0,2,0
01-10 16:47:19,0,0.188,99.812,0,0,12593967104,49847816192,267853824,4446666752,0,0,0,0,1161,1095,0,2,1,339,312,0,3221221376,10,44,0,2,0
01-10 16:47:20,0,0.250,99.750,0,0,12593967104,49847816192,267853824,4446666752,0,81920,0,6,641,622,0,0,0,120,186,0,3221221376,10,44,0,2,0
01-10 16:47:21,0.062,0.188,99.750,0,0,12593901568,49847881728,267853824,4446666752,0,0,0,0,305,622,0,0,0,257,211,0,3221221376,10,44,0,2,0
01-10 16:47:22,0,0.250,99.750,0,0,12592123904,49849659392,267853824,4446666752,0,0,0,0,366,606,0,0,0,1405,830,0,3221221376,10,44,0,2,0
01-10 16:47:23,0.374,0.312,99.314,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,657,836,0,0,0,1849,1282,0,3221221376,10,44,0,2,0
01-10 16:47:24,0,0.250,99.750,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,246,606,0,0,0,98,173,0,3221221376,10,44,0,2,0
01-10 16:47:25,0,0.188,99.750,0.062,0,12584169472,49857613824,267853824,4446666752,0,24576,0,4,725,606,0,0,0,96,158,0,3221221376,10,44,0,2,0
01-10 16:47:26,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,246,622,0,0,0,113,178,0,3221221376,10,44,0,2,0
01-10 16:47:27,0,0.250,99.750,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,365,606,0,0,0,90,153,0,3221221376,10,44,0,2,0
01-10 16:47:28,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,658,836,0,0,0,95,151,0,3221221376,10,44,0,2,0
01-10 16:47:29,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,245,1212,0,0,0,99,168,0,3221221376,10,44,0,1,0
01-10 16:47:30,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,880,666,0,0,0,106,169,0,3221221376,10,44,0,1,0
01-10 16:47:31,0,0.188,99.812,0,0,12584169472,49857613824,267853824,4446666752,0,24576,0,4,425,606,0,0,0,104,170,0,3221221376,10,44,0,1,0
01-10 16:47:32,0.188,0.188,99.625,0,0,12584169472,49857613824,267853824,4446666752,0,0,0,0,968,1360,0,2,1,131,219,0,3221221376,10,43,0,2,0
