


"Host:","node-32.36-intel-s-cloud.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output dstatoutput_load_gen_real.csv",,,,"Date:","01 Oct 2019 16:45:28 MDT"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","77","78","79","int","csw","used","free","lis","act","syn","tim","clo"
01-10 16:47:09,21.577,2.587,75.836,0,0,1629036544,65001107456,82755584,593588224,0,0,0,0,82669338,42032653,1182,962,1250,20912,23458,0,3221221376,10,329,0,2,0
01-10 16:47:10,20.202,2.652,77.146,0,0,1628864512,65001279488,82755584,593588224,0,0,0,0,80098217,40729852,1086,1010,1142,20358,21799,0,3221221376,10,329,0,2,0
01-10 16:47:11,22.670,2.708,74.559,0.063,0,1629794304,65000349696,82755584,593588224,0,24576,0,4,89133538,45300631,1121,1085,1196,21819,25653,0,3221221376,10,329,0,2,0
01-10 16:47:12,21.714,2.857,75.429,0,0,1630937088,64999206912,82755584,593588224,0,0,0,0,89445023,45447541,1245,1006,1236,21973,24824,0,3221221376,10,329,0,2,0
01-10 16:47:13,22.069,2.633,75.298,0,0,1631412224,64998731776,82755584,593588224,0,0,0,0,85455756,43448393,1142,987,1296,21311,24534,0,3221221376,10,329,0,2,0
01-10 16:47:14,20.560,2.801,76.639,0,0,1632333824,64997810176,82755584,593588224,0,0,0,0,84228152,42794469,1145,960,1280,20898,24065,0,3221221376,10,329,0,2,0
01-10 16:47:15,21.325,2.524,76.151,0,0,1632743424,64997400576,82755584,593588224,0,1712128,0,346,83543283,42456987,1074,994,1185,20832,23429,0,3221221376,10,329,0,2,0
01-10 16:47:16,22.859,2.834,74.307,0,0,1633640448,64996503552,82755584,593588224,0,0,0,0,89673132,45580042,1143,993,1247,22185,25137,0,3221221376,10,329,0,2,0
01-10 16:47:17,18.488,2.686,78.826,0,0,1628704768,65001414656,82763776,593604608,0,57344,0,8,69259426,35165198,935,763,1095,18408,22451,0,3221221376,10,9,0,322,0
01-10 16:47:18,0,0.125,99.875,0,0,1628286976,65001832448,82763776,593604608,0,0,0,0,545,646,0,0,0,91,174,0,3221221376,10,9,0,322,0
01-10 16:47:19,0,0.063,99.937,0,0,1628286976,65001832448,82763776,593604608,0,0,0,0,658,836,0,0,0,103,180,0,3221221376,10,9,0,322,0
01-10 16:47:20,0.062,0.125,99.812,0,0,1628286976,65001832448,82763776,593604608,0,32768,0,8,760,606,0,0,0,95,152,0,3221221376,10,9,0,322,0
01-10 16:47:21,0,0.063,99.937,0,0,1628286976,65001832448,82763776,593604608,0,0,0,0,186,622,0,0,0,80,142,0,3221221376,10,9,0,322,0
01-10 16:47:22,0.062,0.125,99.813,0,0,1628286976,65001832448,82763776,593604608,0,0,0,0,597,836,0,0,0,87,146,0,3221221376,10,9,0,322,0
01-10 16:47:23,0,0.125,99.875,0,0,1628278784,65001832448,82771968,593604608,0,73728,0,4,366,606,0,0,0,127,223,0,3221221376,10,9,0,322,0
01-10 16:47:24,0.062,0.125,99.813,0,0,1628278784,65001832448,82771968,593604608,0,0,0,0,605,682,0,0,0,88,139,0,3221221376,10,9,0,322,0
01-10 16:47:25,0,0.125,99.875,0,0,1628278784,65001832448,82771968,593604608,0,0,0,0,598,836,0,0,0,88,143,0,3221221376,10,9,0,321,0
01-10 16:47:26,0,0.063,99.937,0,0,1628278784,65001832448,82771968,593604608,0,0,0,0,425,606,0,0,0,81,138,0,3221221376,10,9,0,321,0
01-10 16:47:27,10.325,1.815,87.860,0,0,994848768,65634918400,82771968,593948672,0,0,0,0,366,718,0,0,0,983,416,0,3221221376,10,9,0,321,0
01-10 16:47:28,0,0.125,99.875,0,0,986902528,65637871616,82771968,598933504,0,0,0,0,425,606,0,0,0,99,194,0,3221221376,10,9,0,321,0
01-10 16:47:29,0,0.125,99.812,0.063,0,986898432,65637867520,82780160,598933504,0,11026432,0,138,358,1442,0,0,0,161,164,0,3221221376,10,9,0,321,0
01-10 16:47:30,0.062,0.125,99.812,0,0,986898432,65637867520,82780160,598933504,0,16384,0,4,1282,622,0,0,0,99,155,0,3221221376,10,9,0,321,0
01-10 16:47:31,0,0.125,99.875,0,0,986898432,65637867520,82780160,598933504,0,0,0,0,306,622,0,0,0,107,178,0,3221221376,10,9,0,320,0
01-10 16:47:32,0,0.125,99.875,0,0,986882048,65637883904,82780160,598933504,0,0,0,0,537,836,0,0,0,86,150,0,3221221376,10,9,0,320,0
01-10 16:47:33,0.063,0.063,99.875,0,0,986882048,65637883904,82780160,598933504,0,0,0,0,521,606,0,0,0,108,187,0,3221221376,10,9,0,320,0
01-10 16:47:34,0.062,0.125,99.812,0,0,986882048,65637883904,82780160,598933504,0,0,0,0,305,606,0,0,0,79,142,0,3221221376,10,9,0,320,0
01-10 16:47:35,0,0.063,99.937,0,0,986873856,65637883904,82788352,598933504,0,32768,0,4,418,836,0,0,0,109,186,0,3221221376,10,9,0,320,0
01-10 16:47:36,0,0.125,99.875,0,0,986873856,65637883904,82788352,598933504,0,8192,0,2,485,622,0,0,0,89,146,0,3221221376,10,9,0,320,0
01-10 16:47:37,0.125,0.125,99.750,0,0,987303936,65637453824,82911232,598810624,245760,0,60,0,3214,2959,0,0,0,204,193,0,3221221376,10,10,0,320,0
01-10 16:47:38,1.440,0.564,97.996,0,0,987721728,65636909056,82911232,598945792,0,0,0,0,39175,1247276,0,0,0,1442,892,0,3221221376,10,10,0,320,0
01-10 16:47:39,0.313,0.188,99.499,0,0,987459584,65637171200,82911232,598945792,0,0,0,0,116988,2957478,0,0,0,1974,620,0,3221221376,10,10,0,320,0
01-10 16:47:40,0.188,0.188,99.625,0,0,986034176,65638596608,82911232,598937600,0,0,0,0,58609,1372709,0,0,0,1074,568,0,3221221376,10,9,0,320,0
01-10 16:47:41,0,0.063,99.875,0.063,0,986025984,65638596608,82919424,598937600,0,327680,0,8,306,606,0,0,0,91,153,0,3221221376,10,9,0,320,0
01-10 16:47:42,0.062,0.125,99.812,0,0,986025984,65638596608,82919424,598937600,0,0,0,0,537,852,0,0,0,84,143,0,3221221376,10,9,0,320,0
01-10 16:47:43,0,0.125,99.875,0,0,986025984,65638596608,82919424,598937600,0,0,0,0,366,606,0,0,0,120,209,0,3221221376,10,9,0,320,0
01-10 16:47:44,0.062,0.125,99.812,0,0,986025984,65638596608,82919424,598937600,0,0,0,0,820,606,0,0,0,89,148,0,3221221376,10,9,0,320,0
01-10 16:47:45,0.063,0.125,99.812,0,0,986542080,65638080512,82919424,598937600,0,0,0,0,3329,2303,0,0,0,174,175,0,3221221376,10,10,0,320,0
