parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
4736,10647.0,368,1268,32,direct,rf2_s4__,1184
4736,14617.93,273,645,32,direct,rf3_s16_,1184
4736,9221.33,441,1016,32,direct,rf3_s32_,1184
4736,14806.33,277,1162,32,direct,rf3_s4__,1184
4736,14302.67,274,703,32,direct,rf4_s16_,1184
4736,8323.0,488,1108,32,direct,rf4_s32_,1184
4736,19266.87,206,1177,32,direct,rf4_s4__,1184
4736,12628.87,309,916,32,direct,rf6_s16_,1184
4736,7402.33,558,1063,32,direct,rf6_s32_,1184
4736,26428.07,147,526,32,direct,rf6_s4__,1184
4992,16031.07,261,543,32,direct,rf2_s16_,1248
4992,9944.07,428,973,32,direct,rf2_s32_,1248
4992,9213.73,343,1966,32,direct,rf2_s4__,1248
4992,15073.0,283,621,32,direct,rf3_s16_,1248
4992,9100.0,466,1010,32,direct,rf3_s32_,1248
4992,14403.53,252,1994,32,direct,rf3_s4__,1248
4992,14157.33,289,741,32,direct,rf4_s16_,1248
4992,8468.33,512,1013,32,direct,rf4_s32_,1248
4992,19676.0,230,697,32,direct,rf4_s4__,1248
4992,13042.27,315,946,32,direct,rf6_s16_,1248
4992,7298.2,589,1006,32,direct,rf6_s32_,1248
4992,27549.4,160,536,32,direct,rf6_s4__,1248
5248,15883.13,274,588,32,direct,rf2_s16_,1312
5248,9631.33,456,1016,32,direct,rf2_s32_,1312
5248,9139.07,366,1882,32,direct,rf2_s4__,1312
5248,14673.47,296,778,32,direct,rf3_s16_,1312
5248,8969.0,483,977,32,direct,rf3_s32_,1312
5248,14019.93,275,1974,32,direct,rf3_s4__,1312
5248,13975.73,301,742,32,direct,rf4_s16_,1312
5248,8293.67,520,976,32,direct,rf4_s32_,1312
5248,17562.93,687,1641,32,direct,rf4_s4__,1312
5248,12809.73,338,1024,32,direct,rf6_s16_,1312
5248,7218.8,618,903,32,direct,rf6_s32_,1312
5248,26941.47,163,532,32,direct,rf6_s4__,1312
5504,16093.13,282,607,32,direct,rf2_s16_,1376
5504,9153.27,486,1041,32,direct,rf2_s32_,1376
5504,8183.8,491,1532,32,direct,rf2_s4__,1376
5504,14982.27,311,729,32,direct,rf3_s16_,1376
5504,9192.8,511,1004,32,direct,rf3_s32_,1376
5504,12603.47,313,1797,32,direct,rf3_s4__,1376
